50,4370,16
51,1518,202
52,1462,180
53,1526,164
54,1598,171
55,1654,138
56,1644,104
57,1882,156
58,1804,163
59,2116,175
60,2160,107
61,2028,112
62,2358,141
63,2410,132
64,2340,228
65,2242,253
66,2364,340
67,2488,383
68,2512,361
69,2518,454
70,2812,448
71,2768,500
72,2960,476
73,2964,419
74,3132,122
75,2880,122
76,3204,150
77,3290,154
78,3134,127
79,2744,104
80,3512,165
81,4376,230
82,3886,188
83,3726,186
84,3970,257
85,3888,216
86,4050,206
87,3746,182
88,4780,244
89,4504,258
90,4412,230
91,4598,266
92,4942,258
93,4182,247
94,4770,220
95,4822,354
96,5276,384
97,4996,298
98,5394,334
99,5320,332
50,1454,323
51,1258,108
52,1468,213
53,1470,138
54,1606,184
55,1780,158
56,1522,87
57,1862,130
58,1878,146
59,1842,153
60,2132,209
61,2092,199
62,2156,198
63,2380,267
64,2290,226
65,2470,249
66,2454,231
67,2348,247
68,2462,225
69,2550,403
70,2820,422
71,2892,458
72,2914,436
73,2718,462
74,3126,581
75,3062,575
76,3184,247
77,3180,130
78,3316,102
79,3460,122
80,3542,160
81,3382,132
82,3686,146
83,3828,174
84,3916,176
85,4238,198
86,3874,178
87,4442,217
88,4362,216
89,4230,205
90,4300,201
91,4244,210
92,4364,204
93,4422,211
94,4780,242
95,4988,257
96,15380,249
97,5106,374
98,5206,342
99,5520,310
50,1404,429
51,1326,159
52,1618,312
53,1540,187
54,1452,164
55,1772,298
56,1646,210
57,1826,204
58,1876,299
59,3776,67
60,1904,248
61,2024,201
62,2032,125
63,2220,147
64,2194,196
65,2180,221
66,2612,288
67,2408,349
68,2706,376
69,2902,474
70,2762,380
71,2924,99
72,2892,90
73,2924,112
74,3082,100
75,3136,114
76,3116,129
77,3070,123
78,3374,142
79,3360,118
80,3392,143
81,3566,171
82,3562,160
83,3606,149
84,3578,167
85,3778,279
86,4330,973
87,4456,876
88,4012,159
89,4190,221
90,4520,222
91,3944,173
92,4848,261
93,4762,295
94,4980,312
95,4926,241
96,4910,237
97,5236,329
98,5252,256
99,5430,348
50,1430,382
51,1312,111
52,1516,137
53,1572,105
54,1576,128
55,1590,155
56,1804,146
57,1732,150
58,1922,179
59,1554,94
60,2000,184
61,2096,205
62,2240,180
63,2184,206
64,2182,214
65,2228,188
66,2400,238
67,2516,262
68,2702,274
69,2532,278
70,2402,238
71,2598,322
72,3218,592
73,2850,482
74,6242,13
75,3212,507
76,3208,231
77,3354,123
78,3130,112
79,3366,121
80,3364,154
81,3878,181
82,3552,139
83,3830,159
84,3658,149
85,3750,162
86,3986,189
87,4196,189
88,4388,222
89,4294,213
90,4662,270
91,4018,163
92,4912,245
93,5428,351
94,4938,306
95,4658,212
96,5516,317
97,4896,276
98,5622,330
99,5576,310
